,filename,P_in,P_rec,N_cal,seed,loss,mean_hem1_ipsi,mean_hem1_contra,mean_hem2_ipsi,mean_hem2_contra,var_hem1_ipsi,var_hem1_contra,var_hem2_ipsi,var_hem2_contra,max_hem1_ipsi,max_hem1_contra,max_hem2_ipsi,max_hem2_contra,nb_hem1_ipsi_pref,nb_hem2_ipsi_pref
0,IpsiContra_In02_Rec10_Col20_s0.npz,0.2,1.0,20,0,0.01046520471572876,-0.1852278858423233,-0.28642985224723816,-0.17249134182929993,-0.1519412100315094,0.1839999556541443,0.35104647278785706,0.12914612889289856,0.23738054931163788,0.3223400115966797,1.152679681777954,0.13487765192985535,0.8815785050392151,2,1
1,IpsiContra_In07_Rec07_Col40_s1.npz,0.7,0.7,40,1,0.009835782460868359,-0.11453523486852646,-0.08588136732578278,-0.22855591773986816,-0.18282252550125122,0.062328651547431946,0.30315521359443665,0.22130200266838074,0.14778302609920502,0.07058451324701309,1.0626904964447021,0.3908577561378479,0.21889889240264893,0,3
2,IpsiContra_In02_Rec05_Col20_s1.npz,0.2,0.5,20,1,0.01184791512787342,-0.06376073509454727,-0.07566000521183014,-0.07006360590457916,-0.08113420009613037,0.1042838990688324,0.16060400009155273,0.09854793548583984,0.1584768295288086,0.15401089191436768,0.46674343943595886,0.21800482273101807,0.3614775538444519,6,5
3,IpsiContra_In07_Rec10_Col10_s2.npz,0.7,1.0,10,2,0.0163173396140337,-0.059722207486629486,-0.07613196969032288,-0.044420938938856125,-0.0651257261633873,0.07117482274770737,0.23916243016719818,0.07369766384363174,0.15818768739700317,0.18527214229106903,0.7344932556152344,0.1742321252822876,0.30360153317451477,2,5
4,IpsiContra_In10_Rec07_Col30_s0.npz,1.0,0.7,30,0,0.010002002120018005,-0.12388231605291367,-0.028642216697335243,-0.19913999736309052,-0.06085967272520065,0.07649549096822739,0.27087080478668213,0.12622509896755219,0.3060283362865448,0.045974522829055786,0.9652036428451538,0.1496136337518692,0.8092474341392517,0,3
5,IpsiContra_In02_Rec02_Col20_s1.npz,0.2,0.2,20,1,0.010734423995018005,-0.050299011170864105,-0.027821924537420273,-0.06263737380504608,-0.04195469990372658,0.06223442777991295,0.16649381816387177,0.10276025533676147,0.17519831657409668,0.0805295929312706,0.43089598417282104,0.1720583587884903,0.4604755938053131,3,4
6,IpsiContra_In10_Rec07_Col30_s1.npz,1.0,0.7,30,1,0.009585670195519924,-0.10851886123418808,-0.2908819019794464,-0.16391555964946747,-0.17655381560325623,0.10143004357814789,0.6396631002426147,0.24438557028770447,0.10725907236337662,0.313663125038147,2.337506055831909,0.6522558927536011,0.08038593828678131,1,5
7,IpsiContra_In02_Rec02_Col20_s0.npz,0.2,0.2,20,0,0.010651635937392712,-0.05783625692129135,-0.019600797444581985,0.11041686683893204,-0.004408317618072033,0.18738411366939545,0.4092032313346863,0.11643705517053604,0.14793278276920319,0.2464887648820877,1.0046141147613525,0.41305649280548096,0.6340821385383606,1,33
8,IpsiContra_In02_Rec05_Col20_s0.npz,0.2,0.5,20,0,0.010469784960150719,-0.0709371417760849,-0.1813439130783081,-0.004389864392578602,-0.07300658524036407,0.10494652390480042,0.4113108515739441,0.11236414313316345,0.16849909722805023,0.17618480324745178,1.521390438079834,0.5051330924034119,0.6038461923599243,8,7
9,IpsiContra_In07_Rec07_Col40_s0.npz,0.7,0.7,40,0,0.010182765312492847,-0.20934918522834778,-0.0046363649889826775,-0.20279665291309357,-0.12665200233459473,0.21836233139038086,0.27481627464294434,0.13825885951519012,0.2368462085723877,0.41515210270881653,1.1134833097457886,0.07352624833583832,0.8767538070678711,2,4
